size,draw,task,seed,acc,eps,support_size
5,2,person-sport,0,0.0,0.7938,5
5,2,person-sport,1,0.0,0.7708,5
5,3,person-sport,0,0.12,0.7508,5
5,3,person-sport,1,0.12,0.7398,5
5,4,person-sport,0,0.0,0.8563,5
5,4,person-sport,1,0.0,0.8365,5
10,0,person-sport,0,0.0,0.9182,2
10,0,person-sport,1,0.0,0.8849,3
10,1,person-sport,0,0.08,0.7907,4
10,1,person-sport,1,0.08,0.7695,5
10,2,person-sport,0,0.24,0.7747,3
10,2,person-sport,1,0.24,0.7494,4
10,3,person-sport,0,0.0,0.7764,4
10,3,person-sport,1,0.0,0.7662,4
10,4,person-sport,0,0.0,0.7085,5
10,4,person-sport,1,0.0,0.6813,5
20,0,person-sport,0,0.0,0.6976,5
20,0,person-sport,1,0.0,0.6774,5
20,1,person-sport,0,0.0,0.7516,5
20,1,person-sport,1,0.0,0.7425,4
20,2,person-sport,0,0.0,0.6602,5
20,2,person-sport,1,0.0,0.6135,5
20,3,person-sport,0,0.0,0.6963,5
20,3,person-sport,1,0.0,0.6625,5
20,4,person-sport,0,0.08,0.6946,4
20,4,person-sport,1,0.0,0.6954,5
30,0,person-sport,0,0.0,0.68,5
30,0,person-sport,1,0.0,0.6483,5
30,1,person-sport,0,0.0,0.6985,4
30,1,person-sport,1,0.0,0.6559,5
30,2,person-sport,0,0.04,0.7004,5
30,2,person-sport,1,0.0,0.6485,5
30,3,person-sport,0,0.04,0.6527,5
30,3,person-sport,1,0.0,0.6438,5
30,4,person-sport,0,0.04,0.6938,5
30,4,person-sport,1,0.0,0.6432,5
40,0,person-sport,0,0.08,0.755,5
40,0,person-sport,1,0.0,0.7269,5
40,1,person-sport,0,0.0,0.6824,5
40,1,person-sport,1,0.0,0.6608,5
40,2,person-sport,0,0.0,0.7594,5
40,2,person-sport,1,0.0,0.7323,5
40,3,person-sport,0,0.0,0.6789,5
40,3,person-sport,1,0.0,0.6586,5
40,4,person-sport,0,0.0,0.6776,5
40,4,person-sport,1,0.0,0.6574,5
46,0,person-sport,0,0.08,0.7556,5
46,0,person-sport,1,0.0,0.7274,5
46,1,person-sport,0,0.08,0.7556,5
46,1,person-sport,1,0.0,0.7274,5
46,2,person-sport,0,0.08,0.7556,5
46,2,person-sport,1,0.0,0.7274,5
46,3,person-sport,0,0.08,0.7556,5
46,3,person-sport,1,0.0,0.7274,5
46,4,person-sport,0,0.08,0.7556,5
46,4,person-sport,1,0.0,0.7274,5
