task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
choose-first-of-list,algorithmic,4,0.5880000000000001,0.12,0.9666666666666667,0.96,0.12,0.5571428571428573,0.5527559055118111,0.65502,4.6
choose-last-of-list,algorithmic,1,0.2,0.3,0.8533333333333334,0.24,0.34,,-0.18072289156626498,0.9189,4.6
choose-last-of-list,algorithmic,2,0.156,0.3,0.8533333333333334,0.24,0.34,,-0.2602409638554216,0.7575,4.8
choose-last-of-list,algorithmic,4,0.33999999999999997,0.3,0.8533333333333334,0.24,0.34,,0.07228915662650597,0.5948,4.8
choose-middle-of-list,algorithmic,1,0.16,0.04,0.3,0.12,0.04,1.5000000000000002,0.4615384615384615,0.92936,4.6
choose-middle-of-list,algorithmic,2,0.17600000000000002,0.04,0.3,0.12,0.04,1.7000000000000004,0.5230769230769231,0.7791,4.8
choose-middle-of-list,algorithmic,4,0.124,0.04,0.3,0.12,0.04,1.05,0.32307692307692304,0.5767399999999999,4.8
color-from-list,selection,1,0.084,0.1,0.9866666666666667,0.22,0.08,-0.13333333333333333,-0.01804511278195489,0.93818,4.6
color-from-list,selection,2,0.372,0.1,0.9866666666666667,0.22,0.08,2.266666666666667,0.3067669172932331,0.83348,4.4
color-from-list,selection,4,0.54,0.1,0.9866666666666667,0.22,0.08,3.6666666666666674,0.4962406015037594,0.7001999999999999,4.4
country-capital,knowledge,1,0.5387755102040817,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,0.8466666666666667,0.5602941176470588,0.9861800000000001,2.6
country-capital,knowledge,2,0.8448979591836734,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,1.3466666666666665,0.8911764705882351,0.98566,2.4
country-capital,knowledge,4,0.9183673469387756,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,1.4666666666666668,0.9705882352941178,0.79936,4.0
country-currency,knowledge,1,0.0,0.0,0.6802721088435373,0.1428571428571428,0.0,0.0,0.0,0.9944000000000001,2.2
country-currency,knowledge,2,0.19183673469387752,0.0,0.6802721088435373,0.1428571428571428,0.0,1.3428571428571432,0.28200000000000003,0.98134,4.0
country-currency,knowledge,4,0.11020408163265301,0.0,0.6802721088435373,0.1428571428571428,0.0,0.7714285714285714,0.16199999999999995,0.78328,4.6
