task,family,k,acc_syn,acc_zs,acc_icl,acc_oracle,acc_naive,rho,rho_icl,eps,support_size
choose-last-of-list,algorithmic,1,0.14400000000000002,0.3,0.8533333333333334,0.24,0.34,,-0.28192771084337337,0.9189,4.6
choose-last-of-list,algorithmic,2,0.08,0.3,0.8533333333333334,0.24,0.34,,-0.397590361445783,0.7575,4.8
choose-last-of-list,algorithmic,4,0.252,0.3,0.8533333333333334,0.24,0.34,,-0.08674698795180719,0.5948,4.8
choose-middle-of-list,algorithmic,1,0.124,0.04,0.3,0.12,0.04,1.05,0.32307692307692304,0.92936,4.6
choose-middle-of-list,algorithmic,2,0.152,0.04,0.3,0.12,0.04,1.4000000000000001,0.43076923076923074,0.7791,4.8
choose-middle-of-list,algorithmic,4,0.136,0.04,0.3,0.12,0.04,1.2000000000000002,0.36923076923076925,0.5767399999999999,4.8
color-from-list,selection,1,0.08399999999999999,0.1,0.9866666666666667,0.22,0.08,-0.13333333333333347,-0.018045112781954902,0.93818,4.6
color-from-list,selection,2,0.43600000000000005,0.1,0.9866666666666667,0.22,0.08,2.8000000000000007,0.3789473684210527,0.83348,4.4
color-from-list,selection,4,0.536,0.1,0.9866666666666667,0.22,0.08,3.6333333333333337,0.49172932330827074,0.7001999999999999,4.4
country-capital,knowledge,1,0.6285714285714286,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,0.9933333333333333,0.6573529411764706,0.9861800000000001,2.6
country-capital,knowledge,2,0.8612244897959185,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,1.3733333333333335,0.9088235294117648,0.98566,2.4
country-capital,knowledge,4,0.8693877551020408,0.02040816326530612,0.9455782312925171,0.6326530612244898,0.0408163265306122,1.3866666666666665,0.9176470588235294,0.79936,4.0
country-currency,knowledge,1,0.0,0.0,0.6802721088435373,0.1428571428571428,0.0,0.0,0.0,0.9944000000000001,2.2
country-currency,knowledge,2,0.15102040816326529,0.0,0.6802721088435373,0.1428571428571428,0.0,1.0571428571428574,0.222,0.98134,4.0
country-currency,knowledge,4,0.12244897959183668,0.0,0.6802721088435373,0.1428571428571428,0.0,0.8571428571428571,0.17999999999999994,0.78328,4.6
english-french,translation,1,0.024,0.0,0.7799999999999999,0.4,0.0,0.06,0.030769230769230774,0.97204,4.2
english-french,translation,2,0.368,0.0,0.7799999999999999,0.4,0.0,0.9199999999999999,0.47179487179487184,0.92768,3.4
english-french,translation,4,0.172,0.0,0.7799999999999999,0.4,0.0,0.42999999999999994,0.2205128205128205,0.71908,4.0
english-german,translation,1,0.272,0.0,0.7533333333333333,0.38,0.0,0.7157894736842105,0.3610619469026549,0.9761599999999999,3.0
english-german,translation,2,0.52,0.0,0.7533333333333333,0.38,0.0,1.368421052631579,0.6902654867256638,0.93302,4.0
english-german,translation,4,0.152,0.0,0.7533333333333333,0.38,0.0,0.39999999999999997,0.20176991150442478,0.62124,4.0
english-spanish,translation,1,0.2879999999999999,0.0,0.8933333333333334,0.48,0.0,0.5999999999999999,0.3223880597014924,0.97776,3.2
english-spanish,translation,2,0.624,0.0,0.8933333333333334,0.48,0.0,1.3,0.698507462686567,0.91156,4.0
english-spanish,translation,4,0.45999999999999996,0.0,0.8933333333333334,0.48,0.0,0.9583333333333333,0.5149253731343283,0.5956400000000001,4.0
fruit-from-list,selection,1,0.18,0.0,0.98,0.6,0.0,0.3,0.1836734693877551,0.9322799999999999,4.4
fruit-from-list,selection,2,0.5720000000000001,0.0,0.98,0.6,0.0,0.9533333333333335,0.5836734693877552,0.77694,4.6
fruit-from-list,selection,4,0.568,0.0,0.98,0.6,0.0,0.9466666666666667,0.5795918367346938,0.5711,4.6
landmark-country,knowledge,1,0.372,0.0,0.8866666666666667,0.72,0.0,0.5166666666666667,0.4195488721804511,0.9752400000000001,3.8
landmark-country,knowledge,2,0.64,0.0,0.8866666666666667,0.72,0.0,0.888888888888889,0.7218045112781954,0.9400600000000001,2.8
landmark-country,knowledge,4,0.52,0.0,0.8866666666666667,0.72,0.0,0.7222222222222223,0.5864661654135338,0.65934,4.4
lowercase-first-letter,linguistic,1,0.388,0.02,0.9933333333333333,0.7,0.02,0.5411764705882354,0.3780821917808219,0.96196,4.0
lowercase-first-letter,linguistic,2,0.532,0.02,0.9933333333333333,0.7,0.02,0.7529411764705883,0.526027397260274,0.9047000000000001,4.0
lowercase-first-letter,linguistic,4,0.716,0.02,0.9933333333333333,0.7,0.02,1.0235294117647058,0.7150684931506849,0.57152,4.0
